name,value
Indie,0.40278861941805066
Singleplayer,0.36717719576861996
Action,0.2948686890438122
Casual,0.28484652723569576
Adventure,0.27887988658896573
2D,0.19266417234170458
Simulation,0.14198810260827435
Strategy,0.1415843449705257
RPG,0.12527253640548033
Atmospheric,0.12276923905143872
3D,0.1220604200873911
Puzzle,0.12083120239024521
Pixel Graphics,0.10117269162786108
Early Access,0.09992552914681525
Colorful,0.09964738499636618
