date,name,category,value
2008-01-01,russian,slavic,54
2008-01-01,simplified chinese,chinese,24
2008-01-01,swedish,nordic,15
2008-01-01,thai,other,6
2008-01-01,traditional chinese,chinese,26
2008-01-01,turkish,turkish,3
2008-01-01,ukrainian,slavic,4
2008-01-01,russian\r\nenglish\r\nspanish - spain\r\nfrench\r\njapanese\r\nczech,other,1
2008-01-01,traditional chinese (text only),other,1
2008-01-01,romanian,latin,1
2008-01-01,slovakian,other,2
2008-01-01,spanish - latin america,latin,1
2008-01-01,english\r\nrussian\r\nspanish - spain\r\njapanese\r\nczech,other,1
2008-01-01,japanese (all with full audio support),other,1
2009-01-01,english,anglo,714
2009-01-01,french,latin,322
2009-01-01,german,anglo,309
2009-01-01,italian,latin,265
2009-01-01,spanish - spain,latin,274
2009-01-01,german;,other,2
2009-01-01,japanese,japanese,41
2009-01-01,bulgarian,slavic,5
2009-01-01,czech,czech,38
2009-01-01,danish,nordic,18
2009-01-01,dutch,anglo,27
2009-01-01,finnish,nordic,16
2009-01-01,greek,greek,4
2009-01-01,hungarian,hungarian,24
2009-01-01,korean,korean,35
2009-01-01,norwegian,nordic,15
2009-01-01,polish,other,76
2009-01-01,portuguese,latin,23
2009-01-01,portuguese - brazil,latin,9
2009-01-01,russian,slavic,111
2009-01-01,simplified chinese,chinese,29
2009-01-01,swedish,nordic,24
2009-01-01,thai,other,9
2009-01-01,traditional chinese,chinese,36
2009-01-01,turkish,turkish,6
2009-01-01,ukrainian,slavic,6
2009-01-01,#lang_français,other,1
2009-01-01,russian\r\nenglish\r\nspanish - spain\r\nfrench\r\njapanese\r\nczech,other,1
2009-01-01,english&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2009-01-01,french&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2009-01-01,italian&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2009-01-01,german&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2009-01-01,spanish - spain&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2009-01-01,korean&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2009-01-01,japanese &amp;lt;br /&amp;gt;&amp;lt;br /&amp;gt;&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2009-01-01,traditional chinese (text only),other,1
2009-01-01,englishb/b,other,3
2009-01-01,frenchb/b,other,1
2009-01-01,italianb/b,other,1
2009-01-01,germanb/b,other,2
2009-01-01,spanish - spainb/b,other,1
2009-01-01,koreanb/b,other,1
2009-01-01,japanese \r\n\r\nb/b,other,1
2009-01-01,romanian,latin,3
2009-01-01,italian \r\n\r\nb/b,other,1
2009-01-01,english (full audio),other,3
2009-01-01,spanish - spain\r\nb/b,other,1
2009-01-01,spanish - latin america,latin,3
2009-01-01,vietnamese,other,2
2009-01-01,arabic,arabic,1
2009-01-01,slovakian,other,2
2009-01-01,english\r\nrussian\r\nspanish - spain\r\njapanese\r\nczech,other,1
2009-01-01,japanese (all with full audio support),other,1
2009-01-01,english dutch  english,other,1
2010-01-01,english,anglo,1014
2010-01-01,french,latin,446
2010-01-01,german,anglo,451
2010-01-01,italian,latin,372
2010-01-01,japanese,japanese,65
2010-01-01,spanish - spain,latin,389
2010-01-01,\r\nfrench,other,1
2010-01-01,\r\ngerman,other,1
2010-01-01,russian,slavic,156
2010-01-01,korean,korean,46
2010-01-01,polish,other,111
2010-01-01,german;,other,2
2010-01-01,bulgarian,slavic,6
2010-01-01,czech,czech,50
2010-01-01,danish,nordic,24
2010-01-01,dutch,anglo,42
2010-01-01,finnish,nordic,17
2010-01-01,greek,greek,5
2010-01-01,hungarian,hungarian,31
2010-01-01,norwegian,nordic,16
2010-01-01,portuguese,latin,28
2010-01-01,portuguese - brazil,latin,10
2010-01-01,simplified chinese,chinese,35
2010-01-01,swedish,nordic,31
2010-01-01,thai,other,10
2010-01-01,traditional chinese,chinese,47
2010-01-01,turkish,turkish,8
2010-01-01,ukrainian,slavic,8
2010-01-01,#lang_français,other,1
2010-01-01,russian\r\nenglish\r\nspanish - spain\r\nfrench\r\njapanese\r\nczech,other,1
2010-01-01,english&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2010-01-01,french&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2010-01-01,italian&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2010-01-01,german&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2010-01-01,spanish - spain&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2010-01-01,korean&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2010-01-01,japanese &amp;lt;br /&amp;gt;&amp;lt;br /&amp;gt;&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2010-01-01,traditional chinese (text only),other,1
2010-01-01,englishb/b,other,3
2010-01-01,frenchb/b,other,1
2010-01-01,italianb/b,other,1
2010-01-01,germanb/b,other,2
2010-01-01,spanish - spainb/b,other,1
2010-01-01,koreanb/b,other,1
2010-01-01,japanese \r\n\r\nb/b,other,1
2010-01-01,romanian,latin,4
2010-01-01,italian \r\n\r\nb/b,other,1
2010-01-01,english (full audio),other,3
2010-01-01,spanish - spain\r\nb/b,other,1
2010-01-01,spanish - latin america,latin,4
2010-01-01,vietnamese,other,3
2010-01-01,arabic,arabic,1
2010-01-01,slovakian,other,2
2010-01-01,english\r\nrussian\r\nspanish - spain\r\njapanese\r\nczech,other,1
2010-01-01,japanese (all with full audio support),other,1
2010-01-01,english dutch  english,other,1
2011-01-01,english,anglo,1300
2011-01-01,french,latin,600
2011-01-01,german,anglo,618
2011-01-01,italian,latin,499
2011-01-01,japanese,japanese,97
2011-01-01,spanish - spain,latin,531
2011-01-01,\r\nfrench,other,1
2011-01-01,\r\ngerman,other,1
2011-01-01,polish,other,173
2011-01-01,russian,slavic,225
2011-01-01,korean,korean,65
2011-01-01,german;,other,2
2011-01-01,bulgarian,slavic,8
2011-01-01,czech,czech,79
2011-01-01,danish,nordic,34
2011-01-01,dutch,anglo,60
2011-01-01,finnish,nordic,24
2011-01-01,greek,greek,6
2011-01-01,hungarian,hungarian,41
2011-01-01,norwegian,nordic,24
2011-01-01,portuguese,latin,45
2011-01-01,portuguese - brazil,latin,18
2011-01-01,simplified chinese,chinese,47
2011-01-01,swedish,nordic,44
2011-01-01,thai,other,13
2011-01-01,traditional chinese,chinese,66
2011-01-01,turkish,turkish,19
2011-01-01,ukrainian,slavic,10
2011-01-01,spanish - latin america,latin,6
2011-01-01,#lang_français,other,1
2011-01-01,russian\r\nenglish\r\nspanish - spain\r\nfrench\r\njapanese\r\nczech,other,1
2011-01-01,english&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2011-01-01,french&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2011-01-01,italian&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2011-01-01,german&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2011-01-01,spanish - spain&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2011-01-01,korean&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2011-01-01,japanese &amp;lt;br /&amp;gt;&amp;lt;br /&amp;gt;&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2011-01-01,traditional chinese (text only),other,1
2011-01-01,englishb/b,other,3
2011-01-01,frenchb/b,other,1
2011-01-01,italianb/b,other,1
2011-01-01,germanb/b,other,2
2011-01-01,spanish - spainb/b,other,1
2011-01-01,koreanb/b,other,1
2011-01-01,japanese \r\n\r\nb/b,other,1
2011-01-01,romanian,latin,7
2011-01-01,italian \r\n\r\nb/b,other,1
2011-01-01,english (full audio),other,3
2011-01-01,spanish - spain\r\nb/b,other,1
2011-01-01,vietnamese,other,3
2011-01-01,arabic,arabic,2
2011-01-01,slovakian,other,2
2011-01-01,english\r\nrussian\r\nspanish - spain\r\njapanese\r\nczech,other,1
2011-01-01,japanese (all with full audio support),other,1
2011-01-01,english dutch  english,other,1
2011-01-01,portuguese - portugal,other,1
2012-01-01,english,anglo,1653
2012-01-01,french,latin,772
2012-01-01,german,anglo,806
2012-01-01,italian,latin,646
2012-01-01,japanese,japanese,157
2012-01-01,spanish - spain,latin,690
2012-01-01,\r\nfrench,other,1
2012-01-01,\r\ngerman,other,1
2012-01-01,polish,other,244
